BirthRate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,LifeExpectancy,Ease of Business (clusters),Country,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,InfantMortalityRate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.90%,,47308,Below Threshold,"$2,642 ",Below 1.5%,73,Friendly,Bulgaria,32,,19399,$0 ,$21B,7.60%,$201 ,,1.60%,12%,0.085,76,69,45%,1,14%,69%,0.171,7.8M,69.90%,Europe,$2B,$1B,12/1/2003
0.90%,,23542,Below Threshold,"$7,690 ",Below 1.5%,75,Friendly,Croatia,29,,8812,"$4,688 ",$34B,6.40%,$495 ,,0.60%,23%,0.116,78,71,58%,1,16%,67%,0.166,4.4M,56.00%,Europe,$7B,$1B,12/1/2003
1.20%,,7748,Below Threshold,"$13,344 ",Below 1.5%,79,Very Friendly,Cyprus,,,2332,"$9,376 ",$13B,6.80%,"$1,235 ",,0.50%,30%,0.069,81,76,55%,1,21%,69%,0.105,1.0M,68.60%,Europe,$2B,$1B,12/1/2003
0.90%,,122379,Below Threshold,"$9,348 ",Below 1.5%,76,Friendly,Czech Republic,40,,44415,"$4,688 ",$95B,7.10%,$666 ,,0.50%,34%,0.059,79,72,95%,1,15%,71%,0.139,10.2M,73.70%,Europe,$4B,$2B,12/1/2003
1.20%,,55735,Below Threshold,"$39,443 ",Below 1.5%,78,Very Friendly,Denmark,7,,20087,"$37,504 ",$213B,9.50%,"$3,756 ",,0.40%,76%,,80,75,89%,1,19%,66%,0.149,5.4M,85.40%,Europe,$5B,$7B,12/1/2003
1.00%,,17052,Below Threshold,"$7,182 ",Below 1.5%,72,Very Friendly,Estonia,72,,5188,"$4,688 ",$10B,4.90%,$352 ,,0.70%,45%,0.055,77,66,78%,1,16%,68%,0.163,1.4M,69.00%,Europe,$1B,$0B,12/1/2003
,,777,Below Threshold,"$30,779 ",Above 3%,80,Not Clustered,Faeroe Islands,,,,"$28,128 ",$1B,,,,,59%,,82,77,79%,1,,,,0.0M,38.70%,Europe,,,12/1/2003
1.10%,,68888,Below Threshold,"$31,509 ",Below 1.5%,79,Very Friendly,Finland,31,,36747,"$28,128 ",$164B,8.20%,"$2,572 ",,0.30%,69%,0.041,82,75,91%,1,18%,67%,0.155,5.2M,82.60%,Europe,$3B,$3B,12/1/2003
1.30%,,387591,Below Threshold,"$28,794 ",Below 1.5%,80,Very Friendly,France,41,,265879,"$28,128 ","$1,792B",10.80%,"$3,137 ",,0.40%,36%,0.066,83,76,69%,1,19%,65%,0.163,62.2M,76.60%,Europe,$46B,$33B,12/1/2003
0.90%,,833406,Below Threshold,"$29,367 ",Below 1.5%,79,Very Friendly,Germany,45,,338070,"$28,128 ","$2,424B",10.90%,"$3,206 ",,0.40%,56%,,81,76,77%,1,15%,67%,0.179,82.5M,73.20%,Europe,$30B,$73B,12/1/2003
1.00%,,95738,Below Threshold,"$17,503 ",Below 1.5%,79,Friendly,Greece,38,,29141,"$14,064 ",$193B,8.90%,"$1,579 ",,0.60%,18%,0.068,81,77,81%,1,15%,67%,0.18,11.0M,73.70%,Europe,$11B,$2B,12/1/2003
0.90%,,59072,Below Threshold,"$8,247 ",Below 1.5%,73,Friendly,Hungary,52,,26136,"$4,688 ",$84B,8.60%,$706 ,,0.80%,22%,0.096,77,68,78%,1,16%,69%,0.155,10.1M,65.50%,Europe,$4B,$3B,12/1/2003
1.40%,,2167,Below Threshold,"$37,890 ",Below 1.5%,82,Very Friendly,Iceland,,,3273,"$37,504 ",$11B,10.60%,"$4,020 ",,0.30%,83%,0.12,83,80,97%,1,23%,66%,0.117,0.3M,92.80%,Europe,$0B,$1B,12/1/2003
1.50%,,43337,Below Threshold,"$39,717 ",1.5-3%,79,Very Friendly,Ireland,18,,14061,"$37,504 ",$159B,7.30%,"$2,918 ",,0.50%,34%,0.028,81,76,87%,1,21%,68%,0.111,4.0M,59.90%,Europe,$5B,$5B,12/1/2003
,,,Below Threshold,"$28,669 ",Above 3%,,Not Clustered,Isle of Man,,,,"$28,128 ",$2B,,,,,,,,,,1,,,,0.1M,51.90%,Europe,,,12/1/2003
0.90%,,468349,Below Threshold,"$26,425 ",Below 1.5%,80,Friendly,Italy,23,,179423,"$23,440 ","$1,515B",8.20%,"$2,157 ",,0.40%,29%,0.058,83,77,98%,1,14%,67%,0.192,57.3M,67.50%,Europe,$33B,$24B,12/1/2003
1.80%,,,Below Threshold,"$1,970 ",1.5-3%,69,Friendly,Kosovo,,,1994,$0 ,$3B,,,,,,,71,66,,1,,,,1.7M,,Europe,,,12/1/2003
0.90%,,7088,Below Threshold,"$4,889 ",Below 1.5%,72,Very Friendly,Latvia,16,,4324,"$4,688 ",$11B,6.20%,$295 ,,1.20%,27%,0.054,77,66,53%,1,16%,68%,0.163,2.3M,67.80%,Europe,$0B,$0B,12/1/2003
1.00%,,,Below Threshold,"$89,945 ",Below 1.5%,80,Not Clustered,Liechtenstein,,,,"$89,072 ",$3B,,,,,59%,,82,78,73%,1,,,,0.0M,14.90%,Europe,,,12/1/2003
0.90%,,12915,Below Threshold,"$5,449 ",Below 1.5%,73,Very Friendly,Lithuania,26,,9253,"$4,688 ",$19B,6.50%,$351 ,,0.90%,26%,0.058,78,67,62%,1,18%,67%,0.147,3.4M,66.70%,Europe,$1B,$0B,12/1/2003
1.20%,,9905,Below Threshold,"$64,532 ",Below 1.5%,78,Friendly,Luxembourg,,,3843,"$60,944 ",$29B,7.70%,"$4,984 ",,0.30%,55%,,81,75,121%,1,19%,67%,0.144,0.5M,85.70%,Europe,$3B,$2B,12/1/2003
1.20%,,11309,Below Threshold,"$2,286 ",Below 1.5%,74,Very Friendly,"Macedonia, FYR",48,,2776,$0 ,$5B,9.30%,$212 ,,1.30%,19%,0.16,76,71,37%,1,21%,68%,0.108,2.1M,57.90%,Europe,$0B,$0B,12/1/2003
1.00%,,2582,Below Threshold,"$12,845 ",Below 1.5%,79,Friendly,Malta,,,826,"$9,376 ",$5B,8.20%,"$1,074 ",,0.60%,32%,0.059,81,76,70%,1,19%,69%,0.123,0.4M,93.20%,Europe,$1B,$0B,12/1/2003
1.20%,,4290,Below Threshold,$548 ,Below 1.5%,68,Friendly,Moldova,42,,3360,$0 ,$2B,8.30%,$46 ,,2.10%,7%,0.193,72,64,12%,1,21%,68%,0.108,3.6M,45.50%,Europe,$0B,$0B,12/1/2003
,,,Below Threshold,"$108,863 ",Above 3%,,Not Clustered,Monaco,,,,"$107,824 ",$4B,3.90%,"$4,216 ",,0.40%,50%,,,,46%,1,,,,0.0M,100.00%,Europe,,,12/1/2003
1.30%,,,Below Threshold,"$2,784 ",Below 1.5%,74,Very Friendly,Montenegro,,,,$0 ,$2B,9.10%,$254 ,,1.10%,,,76,71,,1,21%,67%,0.125,0.6M,61.60%,Europe,,,12/1/2003
1.20%,,175041,Below Threshold,"$33,177 ",Below 1.5%,79,Very Friendly,Netherlands,9,,78010,"$32,816 ",$538B,9.80%,"$3,249 ",,0.50%,64%,0.03,81,76,82%,1,19%,68%,0.138,16.2M,80.30%,Europe,$15B,$16B,12/1/2003
1.20%,,42625,Below Threshold,"$49,264 ",Below 1.5%,80,Very Friendly,Norway,18,,27020,"$46,880 ",$225B,10.60%,"$5,220 ",,0.40%,78%,0.047,82,77,89%,1,20%,65%,0.148,4.6M,77.20%,Europe,$3B,$7B,12/1/2003
0.90%,,304856,Below Threshold,"$5,675 ",Below 1.5%,75,Very Friendly,Poland,31,,91105,"$4,688 ",$217B,6.20%,$354 ,,0.70%,25%,0.073,79,71,46%,1,17%,70%,0.13,38.2M,61.70%,Europe,$5B,$3B,12/1/2003
1.10%,,61276,Below Threshold,"$15,483 ",Below 1.5%,78,Very Friendly,Portugal,78,,25129,"$14,064 ",$162B,9.70%,"$1,514 ",,0.40%,30%,,81,74,96%,1,16%,67%,0.168,10.5M,56.30%,Europe,$8B,$3B,12/1/2003
1.00%,,95940,Below Threshold,"$2,756 ",Below 1.5%,72,Friendly,Romania,29,,39525,$0 ,$59B,5.30%,$146 ,,2.10%,9%,0.254,75,68,32%,1,17%,69%,0.143,21.6M,52.90%,Europe,$1B,$1B,12/1/2003
1.00%,,1604973,Below Threshold,"$2,975 ",Below 1.5%,66,Moderate,Russian Federation,43,,645323,$0 ,$430B,5.60%,$167 ,,1.70%,8%,0.13,72,59,25%,1,16%,71%,0.134,144.7M,73.40%,Europe,$6B,$13B,12/1/2003
,,,Below Threshold,"$39,128 ",Above 3%,82,Friendly,San Marino,,,,"$37,504 ",$1B,5.10%,"$2,837 ",,0.40%,50%,0.075,85,78,59%,1,,,,0.0M,94.00%,Europe,,,12/1/2003
1.10%,,,Below Threshold,"$2,614 ",Below 1.5%,73,Friendly,Serbia,56,,16635,$0 ,$20B,8.80%,$171 ,,0.90%,,0.155,75,70,,1,19%,67%,0.137,7.5M,54.00%,Europe,$0B,$0B,12/1/2003
1.00%,,39494,Below Threshold,"$8,530 ",Below 1.5%,74,Very Friendly,Slovak Republic,103,,18639,"$4,688 ",$46B,5.80%,$360 ,,0.90%,43%,0.085,78,70,68%,1,18%,71%,0.116,5.4M,55.90%,Europe,$1B,$1B,12/1/2003
0.90%,,15500,Below Threshold,"$14,607 ",Below 1.5%,77,Very Friendly,Slovenia,60,,6912,"$14,064 ",$29B,8.60%,"$1,263 ",,0.40%,32%,0.108,81,73,87%,1,15%,70%,0.15,2.0M,50.70%,Europe,$1B,$1B,12/1/2003
1.00%,,321097,Below Threshold,"$20,950 ",Below 1.5%,80,Very Friendly,Spain,114,,133196,"$18,752 ",$884B,8.20%,"$1,730 ",,0.50%,40%,,83,76,89%,1,15%,69%,0.169,42.2M,76.80%,Europe,$44B,$11B,12/1/2003
1.10%,,54781,Below Threshold,"$35,131 ",Below 1.5%,80,Very Friendly,Sweden,16,,50618,"$32,816 ",$315B,9.30%,"$3,277 ",,0.30%,79%,0.048,82,78,98%,1,18%,65%,0.172,9.0M,84.20%,Europe,$7B,$9B,12/1/2003
1.00%,,40205,Below Threshold,"$45,589 ",Below 1.5%,81,Very Friendly,Switzerland,20,,25996,"$42,192 ",$335B,10.90%,"$5,002 ",,0.40%,65%,0.033,83,78,85%,1,17%,68%,0.156,7.3M,73.40%,Europe,$10B,$9B,12/1/2003
2.00%,,218509,Below Threshold,"$4,595 ",1.5-3%,72,Friendly,Turkey,38,,77833,$0 ,$303B,5.30%,$232 ,,2.90%,12%,,75,68,42%,1,29%,64%,0.064,65.9M,66.60%,Europe,$13B,$2B,12/1/2003
0.90%,,352259,Below Threshold,"$1,049 ",Below 1.5%,69,Moderate,Ukraine,40,,144641,$0 ,$50B,6.90%,$73 ,,1.40%,3%,0.179,74,63,14%,1,16%,69%,0.15,47.8M,67.40%,Europe,$1B,$1B,12/1/2003
1.20%,,540640,Below Threshold,"$31,437 ",Below 1.5%,79,Very Friendly,United Kingdom,13,,222080,"$28,128 ","$1,875B",7.80%,"$2,444 ",,0.50%,65%,0.037,81,76,91%,1,18%,66%,0.159,59.6M,79.30%,Europe,$31B,$59B,12/1/2003
2.00%,,16468,Below Threshold,"$14,345 ",1.5-3%,75,Very Friendly,Bahrain,,,6752,"$14,064 ",$11B,3.70%,$536 ,,1.00%,22%,0.083,76,74,57%,1,29%,68%,0.023,0.8M,88.40%,Middle East,$1B,$0B,12/1/2003
1.80%,,418859,Below Threshold,"$1,976 ",1.5-3%,71,Low,"Iran, Islamic Rep.",29,,142649,$0 ,$135B,4.70%,$97 ,,2.40%,7%,,72,70,5%,1,29%,66%,0.047,68.5M,66.20%,Middle East,$1B,$4B,12/1/2003
3.50%,,91118,Below Threshold,,Above 3%,71,Low,Iraq,,,27086,,,4.40%,$16 ,,3.40%,1%,,73,68,0%,1,42%,54%,0.035,26.0M,68.70%,Middle East,,,12/1/2003
2.20%,,65122,Below Threshold,"$17,740 ",1.5-3%,80,Very Friendly,Israel,20,,19730,"$14,064 ",$119B,7.70%,"$1,364 ",,0.50%,20%,0.106,82,78,104%,1,28%,62%,0.1,6.7M,91.40%,Middle East,$2B,$3B,12/1/2003
3.00%,,17470,Below Threshold,"$1,974 ",Above 3%,73,Moderate,Jordan,79,,5176,$0 ,$10B,9.20%,$187 ,,2.20%,9%,0.093,74,71,27%,1,39%,58%,0.031,5.2M,80.60%,Middle East,$1B,$1B,12/1/2003
2.20%,,61657,Below Threshold,"$22,622 ",1.5-3%,74,Moderate,Kuwait,35,,22001,"$18,752 ",$48B,3.20%,$728 ,,1.00%,22%,0.054,75,73,67%,1,26%,71%,0.034,2.1M,98.20%,Middle East,$0B,$4B,12/1/2003
1.60%,,18221,Below Threshold,"$5,442 ",1.5-3%,76,Moderate,Lebanon,46,,5220,"$4,688 ",$20B,9.30%,$498 ,,1.40%,8%,0.134,78,74,22%,1,28%,64%,0.073,3.7M,86.30%,Middle East,$7B,$3B,12/1/2003
2.20%,,32391,Below Threshold,"$9,017 ",1.5-3%,74,Very Friendly,Oman,35,,9350,"$4,688 ",$22B,3.20%,$294 ,,1.20%,7%,0.082,76,72,25%,1,36%,61%,0.025,2.4M,71.50%,Middle East,$1B,$1B,12/1/2003
1.70%,,36157,Below Threshold,"$35,644 ",1.5-3%,77,Very Friendly,Qatar,,,14185,"$32,816 ",$24B,4.10%,"$1,476 ",,1.00%,19%,,78,76,57%,1,27%,72%,0.015,0.7M,96.90%,Middle East,$0B,$0B,12/1/2003
2.40%,,327272,Below Threshold,"$9,390 ",1.5-3%,74,Very Friendly,Saudi Arabia,74,,121382,"$9,376 ",$215B,4.00%,$384 ,,1.80%,8%,,75,72,32%,1,36%,61%,0.033,22.9M,80.50%,Middle East,$3B,$4B,12/1/2003
2.80%,,54286,Below Threshold,"$1,262 ",1.5-3%,74,Low,Syrian Arab Republic,43,,16543,$0 ,$22B,5.10%,$60 ,,1.80%,3%,0.075,76,72,7%,1,40%,57%,0.034,17.3M,53.00%,Middle East,$1B,$1B,12/1/2003
1.60%,,106842,Below Threshold,"$36,906 ",1.5-3%,75,Very Friendly,United Arab Emirates,19,,40190,"$32,816 ",$124B,2.60%,$968 ,,0.90%,30%,,76,74,88%,1,23%,76%,0.01,3.4M,81.50%,Middle East,$1B,$4B,12/1/2003
3.70%,,17305,Below Threshold,$617 ,Above 3%,62,Moderate,"Yemen, Rep.",72,,5667,$0 ,$12B,5.00%,$35 ,,6.10%,1%,0.18,63,60,4%,1,47%,50%,0.027,19.1M,27.80%,Middle East,$0B,$0B,12/1/2003
,,,Below Threshold,,Above 3%,,Not Clustered,American Samoa,,,,,,,,,,,,,,4%,1,,,,0.1M,88.30%,Oceania,,,12/1/2003
1.30%,,346476,Below Threshold,"$23,456 ",Below 1.5%,81,Very Friendly,Australia,3,,110814,"$23,440 ",$467B,8.30%,"$2,323 ",,0.50%,,0.084,83,78,72%,1,20%,67%,0.127,19.9M,87.70%,Oceania,$17B,$10B,12/1/2003
2.40%,,862,Below Threshold,"$2,834 ",1.5-3%,69,Friendly,Fiji,45,,,$0 ,$2B,3.40%,$95 ,,2.00%,7%,0.076,71,66,13%,1,32%,64%,0.038,0.8M,49.10%,Oceania,$0B,$0B,12/1/2003
1.90%,,799,Below Threshold,,1.5-3%,74,Not Clustered,French Polynesia,,,,,,,,,,14%,,76,71,24%,1,29%,66%,0.046,0.2M,56.00%,Oceania,$1B,$0B,12/1/2003
2.00%,,,Below Threshold,,1.5-3%,77,Not Clustered,Guam,,,,,,,,,,34%,,79,74,51%,1,30%,64%,0.06,0.2M,93.40%,Oceania,,,12/1/2003
2.60%,,40,Below Threshold,"$1,032 ",1.5-3%,66,Moderate,Kiribati,21,,,$0 ,$0B,9.60%,$103 ,,5.10%,3%,,69,63,1%,1,38%,58%,0.035,0.1M,43.50%,Oceania,,,12/1/2003
,,84,Above Threshold,"$2,435 ",Above 3%,,Moderate,Marshall Islands,17,,,$0 ,$0B,17.30%,$411 ,,3.30%,3%,,,,1%,1,,,,0.1M,69.30%,Oceania,$0B,$0B,12/1/2003
2.80%,,147,Below Threshold,"$2,294 ",1.5-3%,68,Low,"Micronesia, Fed. Sts.",16,,,$0 ,$0B,9.50%,$218 ,,3.90%,9%,0.15,68,67,6%,1,39%,57%,0.039,0.1M,22.30%,Oceania,$0B,$0B,12/1/2003
1.80%,,2750,Below Threshold,,1.5-3%,76,Not Clustered,New Caledonia,,,,,,,,,,26%,,79,72,44%,1,28%,66%,0.063,0.2M,62.90%,Oceania,$0B,$0B,12/1/2003
1.40%,,33938,Below Threshold,"$21,712 ",Below 1.5%,79,Very Friendly,New Zealand,12,,16847,"$18,752 ",$87B,7.90%,"$1,602 ",,0.60%,61%,0.07,81,77,65%,1,22%,66%,0.119,4.0M,86.00%,Oceania,$4B,$2B,12/1/2003
3.40%,,3968,Below Threshold,$609 ,Above 3%,60,Moderate,Papua New Guinea,51,,,$0 ,$4B,4.10%,$25 ,,5.70%,1%,0.134,62,58,0%,1,40%,57%,0.026,5.8M,13.10%,Oceania,$0B,$0B,12/1/2003
3.00%,,150,Below Threshold,"$1,699 ",Above 3%,71,Friendly,Samoa,42,,,$0 ,$0B,5.10%,$93 ,,1.70%,3%,0.113,74,67,6%,1,40%,55%,0.047,0.2M,21.70%,Oceania,$0B,,12/1/2003
3.50%,,180,Below Threshold,$745 ,Above 3%,65,Friendly,Solomon Islands,56,,,$0 ,$0B,6.00%,$45 ,,2.90%,1%,0.147,66,63,0%,1,42%,56%,0.029,0.4M,17.00%,Oceania,$0B,$0B,12/1/2003
2.90%,,176,Below Threshold,"$2,087 ",1.5-3%,72,Friendly,Tonga,32,,,$0 ,$0B,5.10%,$106 ,,1.40%,3%,0.113,74,69,11%,1,38%,56%,0.06,0.1M,23.10%,Oceania,$0B,$0B,12/1/2003
3.10%,,81,Below Threshold,"$1,581 ",Above 3%,69,Friendly,Vanuatu,39,,,$0 ,$0B,3.70%,$58 ,,1.80%,4%,0.059,71,67,4%,1,40%,56%,0.032,0.2M,22.50%,Oceania,$0B,$0B,12/1/2003
1.90%,,389,Below Threshold,"$10,497 ",1.5-3%,75,Friendly,Antigua and Barbuda,,,,"$9,376 ",$1B,4.40%,$457 ,,1.20%,17%,0.128,77,72,57%,1,29%,64%,0.071,0.1M,30.50%,The Americas,$0B,$0B,12/1/2003
1.80%,,133127,Below Threshold,"$4,135 ",1.5-3%,75,Moderate,Argentina,66,,59047,$0 ,$157B,8.20%,$280 ,,1.70%,12%,0.191,78,71,21%,1,27%,63%,0.101,38.0M,89.70%,The Americas,$2B,$3B,12/1/2003
1.30%,,2255,Below Threshold,"$20,835 ",Below 1.5%,74,Not Clustered,Aruba,,,,"$18,752 ",$2B,,,,,21%,0.115,76,72,72%,1,22%,70%,0.081,0.1M,45.60%,The Americas,$1B,$0B,12/1/2003
1.60%,,1518,Below Threshold,"$22,018 ",1.5-3%,73,Friendly,"Bahamas, The",,,,"$18,752 ",$7B,5.60%,"$1,237 ",,1.30%,20%,0.06,76,70,39%,1,27%,67%,0.059,0.3M,82.20%,The Americas,$2B,$0B,12/1/2003
1.30%,,1269,Below Threshold,"$12,078 ",Below 1.5%,74,Friendly,Barbados,,,,"$9,376 ",$3B,7.10%,$702 ,,1.50%,40%,0.085,76,71,52%,1,21%,68%,0.112,0.3M,33.30%,The Americas,$1B,$0B,12/1/2003
2.80%,,374,Below Threshold,"$3,833 ",1.5-3%,72,Moderate,Belize,,,,$0 ,$1B,4.50%,$174 ,,1.90%,,0.143,75,68,23%,1,39%,57%,0.042,0.3M,46.90%,The Americas,$0B,$0B,12/1/2003
1.30%,,510,Below Threshold,"$66,112 ",Below 1.5%,79,Not Clustered,Bermuda,,,,"$65,632 ",$4B,,,,,57%,,81,76,63%,1,,,,0.1M,100.00%,The Americas,$0B,$0B,12/1/2003
3.00%,,14129,Below Threshold,$896 ,Above 3%,64,Low,Bolivia,60,,3688,$0 ,$8B,5.60%,$50 ,,4.90%,4%,0.177,66,62,14%,1,39%,57%,0.043,9.0M,63.30%,The Americas,$0B,$0B,12/1/2003
1.90%,,321622,Below Threshold,"$3,040 ",1.5-3%,71,Moderate,Brazil,152,,198976,$0 ,$552B,7.00%,$214 ,,2.40%,13%,0.671,75,67,26%,1,28%,66%,0.059,181.8M,82.20%,The Americas,$3B,$3B,12/1/2003
1.10%,,553185,Below Threshold,"$28,026 ",Below 1.5%,80,Very Friendly,Canada,3,,262038,"$23,440 ",$888B,9.80%,"$2,680 ",,0.50%,64%,0.047,82,77,42%,1,18%,69%,0.129,31.7M,80.00%,The Americas,$12B,$16B,12/1/2003
,,480,Below Threshold,,Above 3%,,Not Clustered,Cayman Islands,,,,,,,,,,,,,,46%,1,,,,0.0M,100.00%,The Americas,$1B,,12/1/2003
1.60%,,55078,Below Threshold,"$4,866 ",1.5-3%,78,Very Friendly,Chile,27,,25833,"$4,688 ",$78B,7.10%,$338 ,,0.80%,26%,0.062,81,75,45%,1,26%,66%,0.077,16.0M,86.90%,The Americas,$1B,$1B,12/1/2003
2.20%,,57422,Below Threshold,"$2,261 ",1.5-3%,72,Very Friendly,Colombia,60,,25736,$0 ,$95B,5.90%,$134 ,,2.00%,7%,0.152,76,68,15%,1,32%,64%,0.049,41.9M,73.00%,The Americas,$1B,$1B,12/1/2003
1.80%,,6626,Below Threshold,"$4,200 ",1.5-3%,79,Moderate,Costa Rica,77,,3297,$0 ,$18B,8.10%,$343 ,,0.90%,20%,0.256,81,76,19%,1,29%,65%,0.057,4.2M,63.10%,The Americas,$1B,$0B,12/1/2003
1.20%,,25486,Below Threshold,"$3,192 ",Below 1.5%,77,Not Clustered,Cuba,,,11662,$0 ,$36B,6.30%,$202 ,,0.60%,5%,,79,75,0%,1,20%,69%,0.105,11.2M,75.90%,The Americas,$2B,,12/1/2003
,,,Below Threshold,,Above 3%,,Not Clustered,Curacao,,,,,,,,,,,,,,,1,23%,66%,0.114,0.1M,90.80%,The Americas,$0B,$0B,12/1/2003
,,114,Below Threshold,"$4,865 ",Above 3%,,Friendly,Dominica,,,,"$4,688 ",$0B,4.90%,$240 ,,1.30%,24%,0.115,,,34%,1,,,,0.1M,66.00%,The Americas,$0B,$0B,12/1/2003
2.40%,,21888,Below Threshold,"$2,345 ",1.5-3%,71,Moderate,Dominican Republic,77,,7479,$0 ,$21B,6.50%,$143 ,,3.10%,8%,0.314,74,68,23%,1,34%,61%,0.055,9.1M,64.60%,The Americas,$3B,$0B,12/1/2003
2.40%,,26523,Below Threshold,"$2,442 ",1.5-3%,74,Moderate,Ecuador,92,,9712,$0 ,$32B,6.70%,$164 ,,2.60%,5%,0.136,77,71,18%,1,33%,61%,0.054,13.3M,61.30%,The Americas,$0B,$1B,12/1/2003
2.20%,,6553,Below Threshold,"$2,496 ",1.5-3%,71,Moderate,El Salvador,115,,4418,$0 ,$15B,7.30%,$182 ,,2.30%,3%,,75,66,19%,1,37%,57%,0.059,6.0M,60.60%,The Americas,$1B,$0B,12/1/2003
1.60%,,532,Below Threshold,"$25,129 ",1.5-3%,69,Not Clustered,Greenland,,,,"$23,440 ",$1B,,,,,55%,,71,66,52%,1,,,,0.1M,82.30%,The Americas,,,12/1/2003
1.90%,,216,Below Threshold,"$5,825 ",1.5-3%,71,Moderate,Grenada,,,,"$4,688 ",$1B,6.20%,$359 ,,1.30%,19%,0.12,73,69,41%,1,32%,60%,0.077,0.1M,36.00%,The Americas,$0B,$0B,12/1/2003
3.50%,,10502,Below Threshold,"$1,817 ",Above 3%,70,Friendly,Guatemala,39,,7436,$0 ,$22B,6.40%,$116 ,,3.60%,5%,0.15,73,66,17%,1,44%,52%,0.042,12.1M,46.30%,The Americas,$1B,$0B,12/1/2003
2.20%,,1566,Below Threshold,$984 ,1.5-3%,65,Moderate,Guyana,,,,$0 ,$1B,5.60%,$55 ,,3.70%,,0.15,68,61,18%,1,36%,60%,0.041,0.8M,28.40%,The Americas,$0B,$0B,12/1/2003
3.00%,,1734,Below Threshold,$314 ,Above 3%,59,Low,Haiti,202,,2218,$0 ,$3B,5.30%,$17 ,,6.90%,2%,0.442,60,57,4%,1,39%,57%,0.041,9.0M,40.60%,The Americas,$0B,$0B,12/1/2003
3.00%,,6769,Below Threshold,"$1,228 ",Above 3%,72,Moderate,Honduras,62,,3647,$0 ,$8B,8.30%,$103 ,,2.80%,5%,0.208,74,69,6%,1,41%,55%,0.041,6.6M,47.20%,The Americas,$0B,$0B,12/1/2003
1.70%,,10722,Below Threshold,"$3,593 ",1.5-3%,71,Friendly,Jamaica,31,,3728,$0 ,$9B,4.60%,$162 ,,1.90%,8%,0.189,74,68,60%,1,32%,61%,0.076,2.6M,52.40%,The Americas,$2B,$0B,12/1/2003
2.30%,,405633,Below Threshold,"$6,601 ",1.5-3%,76,Very Friendly,Mexico,58,,153665,"$4,688 ",$713B,5.80%,$397 ,,1.80%,13%,0.07,78,73,28%,1,33%,62%,0.051,108.1M,75.70%,The Americas,$10B,$7B,12/1/2003
2.60%,,4411,Below Threshold,"$1,001 ",1.5-3%,71,Moderate,Nicaragua,46,,2758,$0 ,$5B,6.10%,$61 ,,2.90%,2%,0.155,74,68,9%,1,39%,57%,0.039,5.3M,55.50%,The Americas,$0B,$0B,12/1/2003
2.30%,,6153,Below Threshold,"$3,991 ",1.5-3%,76,Friendly,Panama,18,,2649,$0 ,$13B,7.60%,$303 ,,2.00%,10%,0.099,78,73,21%,1,31%,63%,0.058,3.2M,63.10%,The Americas,$1B,$0B,12/1/2003
2.70%,,4070,Below Threshold,"$1,159 ",1.5-3%,71,Moderate,Paraguay,74,,3965,$0 ,$7B,6.10%,$71 ,,2.50%,2%,0.5,73,69,31%,1,37%,59%,0.046,5.7M,56.90%,The Americas,$0B,$0B,12/1/2003
2.30%,,26380,Below Threshold,"$2,136 ",1.5-3%,72,Very Friendly,Peru,98,,11638,$0 ,$58B,4.50%,$102 ,,2.50%,12%,0.21,74,69,11%,1,33%,62%,0.052,27.1M,74.20%,The Americas,$1B,$1B,12/1/2003
1.30%,,,Below Threshold,"$19,820 ",Below 1.5%,78,Very Friendly,Puerto Rico,7,,,"$18,752 ",$76B,,,,,20%,,82,74,45%,1,23%,65%,0.118,3.8M,94.20%,The Americas,$3B,$1B,12/1/2003
,,,Below Threshold,,Above 3%,,Not Clustered,Sint Maarten (Dutch part),,,,,,,,,,,,,,,1,,,,0.0M,100.00%,The Americas,$1B,$0B,12/1/2003
,,220,Below Threshold,"$9,681 ",Above 3%,,Friendly,St. Kitts and Nevis,,,,"$9,376 ",$0B,3.70%,$359 ,,1.20%,23%,0.122,,,46%,1,,,,0.0M,32.30%,The Americas,$0B,$0B,12/1/2003
1.80%,,359,Below Threshold,"$4,830 ",1.5-3%,72,Friendly,St. Lucia,,,,"$4,688 ",$1B,6.20%,$299 ,,1.50%,21%,0.15,74,70,61%,1,30%,63%,0.072,0.2M,25.20%,The Americas,$0B,$0B,12/1/2003
1.70%,,,Below Threshold,,1.5-3%,78,Not Clustered,St. Martin (French part),,,,,,,,,,,,81,74,,1,,,,0.0M,,The Americas,,,12/1/2003
1.90%,,194,Below Threshold,"$4,452 ",1.5-3%,71,Friendly,St. Vincent and the Grenadines,,,,$0 ,$0B,3.90%,$174 ,,1.90%,7%,0.118,73,69,58%,1,30%,63%,0.072,0.1M,46.30%,The Americas,$0B,$0B,12/1/2003
2.10%,,2241,Below Threshold,"$2,611 ",1.5-3%,69,Low,Suriname,,,,$0 ,$1B,6.60%,$173 ,,2.80%,5%,0.21,72,65,35%,1,30%,64%,0.059,0.5M,66.70%,The Americas,$0B,$0B,12/1/2003
